"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000002745_ZBMD",8.55136,1,"ENSG00000002745","ebmd"
"ENSG00000004939_IRNT_biliru",8.61959,0,"ENSG00000004939","dbilirubin"
"ENSG00000008710_hypertension",11.3133,0,"ENSG00000008710","Hypertension"
"ENSG00000008710_IRNT_RBC",7.27631,0,"ENSG00000008710","rbc"
"ENSG00000010327_IRNT_LDL",10.9004,0,"ENSG00000010327","ldl"
"ENSG00000010803_IRNT_height",9.6308,0,"ENSG00000010803","height"
"ENSG00000012048_Breast_cancer",32.0374,1,"ENSG00000012048","Breast cancer"
"ENSG00000015520_IRNT_LDL",19.9626,1,"ENSG00000015520","ldl"
"ENSG00000018280_IRNT_height",8.18409,0,"ENSG00000018280","height"
"ENSG00000019186_IRNT_Ca",10.0867,1,"ENSG00000019186","calcium"
"ENSG00000023839_IRNT_biliru",21.1325,1,"ENSG00000023839","dbilirubin"
"ENSG00000024048_IRNT_BMI",7.4846,0,"ENSG00000024048","BMI"
"ENSG00000027644_IRNT_RBC",6.919,0,"ENSG00000027644","rbc"
"ENSG00000029534_IRNT_biliru",9.65198,0,"ENSG00000029534","dbilirubin"
"ENSG00000036828_IRNT_Ca",76.0529,1,"ENSG00000036828","calcium"
"ENSG00000049192_IRNT_height",10.3305,0,"ENSG00000049192","height"
"ENSG00000049323_IRNT_height",7.54,0,"ENSG00000049323","height"
"ENSG00000060566_IRNT_TG",15.9925,0,"ENSG00000060566","tg"
"ENSG00000062282_IRNT_biliru",7.30584,0,"ENSG00000062282","dbilirubin"
"ENSG00000065054_IRNT_DBP",18.2538,0,"ENSG00000065054","dbp"
"ENSG00000065054_IRNT_RBC",16.4338,0,"ENSG00000065054","rbc"
"ENSG00000065054_IRNT_SBP",18.4248,0,"ENSG00000065054","sbp"
"ENSG00000065243_IRNT_height",8.82269,0,"ENSG00000065243","height"
"ENSG00000065600_IRNT_height",13.1682,0,"ENSG00000065600","height"
"ENSG00000066827_IRNT_height",114.659,0,"ENSG00000066827","height"
"ENSG00000066827_IRNT_SBP",16.3956,0,"ENSG00000066827","sbp"
"ENSG00000068078_IRNT_height",9.98441,1,"ENSG00000068078","height"
"ENSG00000069011_IRNT_height",8.18502,0,"ENSG00000069011","height"
"ENSG00000073792_IRNT_height",20.3807,0,"ENSG00000073792","height"
"ENSG00000077044_IRNT_biliru",29.0595,0,"ENSG00000077044","dbilirubin"
"ENSG00000078369_IRNT_RBC",13.0804,0,"ENSG00000078369","rbc"
"ENSG00000079999_IRNT_WHR",8.46289,0,"ENSG00000079999","WHR"
"ENSG00000081052_IRNT_RBC",8.11327,0,"ENSG00000081052","rbc"
"ENSG00000081800_IRNT_height",8.92407,0,"ENSG00000081800","height"
"ENSG00000083093_Breast_cancer",20.4198,1,"ENSG00000083093","Breast cancer"
"ENSG00000083223_IRNT_height",7.05968,0,"ENSG00000083223","height"
"ENSG00000084674_IRNT_biliru",25.0309,0,"ENSG00000084674","dbilirubin"
"ENSG00000084674_IRNT_height",7.03917,0,"ENSG00000084674","height"
"ENSG00000084674_IRNT_LDL",272.996,1,"ENSG00000084674","ldl"
"ENSG00000084674_IRNT_TG",131.136,1,"ENSG00000084674","tg"
"ENSG00000084734_IRNT_TG",13.2807,0,"ENSG00000084734","tg"
"ENSG00000084774_IRNT_RBC",7.3956,0,"ENSG00000084774","rbc"
"ENSG00000085982_IRNT_biliru",13.3891,0,"ENSG00000085982","dbilirubin"
"ENSG00000087237_IRNT_LDL",7.69753,0,"ENSG00000087237","ldl"
"ENSG00000088826_IRNT_height",10.1158,0,"ENSG00000088826","height"
"ENSG00000091127_IRNT_height",11.7368,0,"ENSG00000091127","height"
"ENSG00000091831_IRNT_height",12.3849,0,"ENSG00000091831","height"
"ENSG00000096968_IRNT_biliru",13.13,0,"ENSG00000096968","dbilirubin"
"ENSG00000096968_IRNT_LDL",14.9337,0,"ENSG00000096968","ldl"
"ENSG00000096968_IRNT_RBC",8.35561,1,"ENSG00000096968","rbc"
"ENSG00000099769_IRNT_height",8.64365,0,"ENSG00000099769","height"
"ENSG00000100888_IRNT_height",9.02655,0,"ENSG00000100888","height"
"ENSG00000100889_IRNT_height",7.92652,0,"ENSG00000100889","height"
"ENSG00000101076_T2D",9.33454,1,"ENSG00000101076","Diabetes mellitus"
"ENSG00000101310_IRNT_RBC",8.49629,1,"ENSG00000101310","rbc"
"ENSG00000101347_IRNT_height",7.31081,0,"ENSG00000101347","height"
"ENSG00000102595_IRNT_height",8.84676,0,"ENSG00000102595","height"
"ENSG00000102893_IRNT_height",9.17532,1,"ENSG00000102893","height"
"ENSG00000103024_Atrial_fibrillation",8.12322,0,"ENSG00000103024","Cardiac dysrhythmias"
"ENSG00000103196_IRNT_height",38.0905,0,"ENSG00000103196","height"
"ENSG00000103326_IRNT_height",7.78663,0,"ENSG00000103326","height"
"ENSG00000103335_IRNT_height",33.3897,0,"ENSG00000103335","height"
"ENSG00000103335_IRNT_RBC",10.729,0,"ENSG00000103335","rbc"
"ENSG00000103335_ZBMD",9.19599,0,"ENSG00000103335","ebmd"
"ENSG00000103855_Atrial_fibrillation",7.49917,0,"ENSG00000103855","Cardiac dysrhythmias"
"ENSG00000104870_IRNT_Ca",12.5522,0,"ENSG00000104870","calcium"
"ENSG00000104870_IRNT_RBC",7.39164,0,"ENSG00000104870","rbc"
"ENSG00000105472_IRNT_height",10.1411,0,"ENSG00000105472","height"
"ENSG00000105610_IRNT_RBC",16.5646,1,"ENSG00000105610","rbc"
"ENSG00000105726_IRNT_BMI",8.9881,0,"ENSG00000105726","BMI"
"ENSG00000105810_IRNT_height",10.6868,0,"ENSG00000105810","height"
"ENSG00000106034_ZBMD",8.39294,0,"ENSG00000106034","ebmd"
"ENSG00000106327_IRNT_RBC",11.1763,0,"ENSG00000106327","rbc"
"ENSG00000106571_IRNT_height",14.2769,0,"ENSG00000106571","height"
"ENSG00000106624_IRNT_height",8.98202,0,"ENSG00000106624","height"
"ENSG00000106633_IRNT_glu",73.6198,1,"ENSG00000106633","glucose"
"ENSG00000106633_T2D",35.4406,1,"ENSG00000106633","Diabetes mellitus"
"ENSG00000106819_IRNT_height",9.51372,0,"ENSG00000106819","height"
"ENSG00000106868_IRNT_RBC",8.87928,0,"ENSG00000106868","rbc"
"ENSG00000107625_IRNT_height",7.09387,0,"ENSG00000107625","height"
"ENSG00000108821_IRNT_height",10.248,0,"ENSG00000108821","height"
"ENSG00000108821_ZBMD",11.3515,1,"ENSG00000108821","ebmd"
"ENSG00000108846_IRNT_biliru",11.8726,0,"ENSG00000108846","dbilirubin"
"ENSG00000108854_IRNT_height",11.703,0,"ENSG00000108854","height"
"ENSG00000109625_IRNT_height",9.45122,0,"ENSG00000109625","height"
"ENSG00000110243_IRNT_TG",65.1976,1,"ENSG00000110243","tg"
"ENSG00000110245_IRNT_LDL",17.7972,0,"ENSG00000110245","ldl"
"ENSG00000110245_IRNT_TG",777.703,0,"ENSG00000110245","tg"
"ENSG00000111186_ZBMD",7.27972,0,"ENSG00000111186","ebmd"
"ENSG00000111252_IRNT_biliru",10.6057,0,"ENSG00000111252","dbilirubin"
"ENSG00000111252_IRNT_LDL",7.31655,0,"ENSG00000111252","ldl"
"ENSG00000111252_IRNT_RBC",27.0258,1,"ENSG00000111252","rbc"
"ENSG00000111700_IRNT_biliru",138.977,0,"ENSG00000111700","dbilirubin"
